date,age,distance,stores,latitude,longitude,price
2005,3,9,10,87,126,14235
2000,24,8,9,87,129,15534
2011,27,6,5,89,120,15002
2000,19,10,2,83,125,14895
2017,32,4,4,84,123,14057
2001,15,7,1,83,128,13378
2004,29,7,7,88,120,15045
2008,18,3,2,86,130,12802
2010,10,1,9,90,129,12526
2009,30,9,5,81,128,14859
2009,20,4,0,81,125,13225
2004,15,4,1,84,126,13006
2017,25,9,9,88,125,15508
2017,9,8,0,90,120,14369
2008,30,1,4,88,130,14304
2011,17,3,1,80,127,12415
2000,14,4,10,90,122,14152
2015,8,6,2,85,125,12739
2011,27,6,7,84,127,14234
2006,8,9,9,82,121,14660
2008,32,4,5,80,120,14403
2011,31,0,3,85,123,12833
2002,13,5,4,85,122,12867
2010,30,9,8,90,123,15661
2008,29,9,1,87,130,15752
2004,18,0,4,84,120,13215
2011,11,9,0,85,121,14109
2014,29,6,8,80,128,14433
2001,1,3,4,82,129,12968
2006,13,10,3,86,122,14673
2008,1,0,10,81,120,12009
2010,3,4,4,88,122,13381
2002,12,9,2,83,130,14623
2007,19,3,7,90,124,13466
2016,20,9,1,86,122,14761
2011,0,9,7,80,120,13983
2018,1,8,3,87,126,13815
2016,7,4,5,84,128,13461
2018,12,10,3,82,124,15059
2016,6,4,0,86,128,12560
2017,15,6,7,84,126,13539
2000,15,3,4,81,124,13406
2006,33,0,3,83,120,13449
2009,6,9,3,90,128,13886
2012,25,0,10,85,126,12887
2014,17,10,3,84,123,15027
2014,5,2,6,89,121,13141
2014,18,6,0,86,120,14185
2002,7,4,3,87,128,13306
2004,21,4,4,90,127,14271
2016,17,9,3,86,120,15063
2000,13,6,3,86,128,14191
2002,6,3,9,86,120,13192
2016,27,2,2,84,127,13051
2006,9,4,1,82,123,13367
2002,11,10,2,86,123,14903
2011,34,5,5,87,125,14858
2008,10,9,8,85,128,14998
2017,32,6,5,83,123,15152
2005,7,9,8,82,130,14118
2016,37,2,1,81,120,14019
2015,27,9,1,90,129,15522
2012,38,7,4,81,126,15068
2009,13,10,7,88,120,14257
2001,7,8,2,80,123,13028
2007,19,4,7,88,127,13680
2012,11,0,0,88,130,12802
2002,11,6,1,81,129,13997
2008,23,2,3,88,129,13954
2002,22,10,6,84,120,14881
2009,5,6,8,90,124,14069
2013,15,6,8,85,122,14055
2003,16,3,9,82,122,12832
2002,22,2,9,85,125,13620
2000,5,5,7,86,130,13147
2008,10,3,1,86,125,12608
2011,18,3,5,85,129,12956
2000,20,1,8,83,129,12745
2010,31,10,6,85,128,15232
2002,5,4,3,80,128,12581
2006,20,8,9,84,129,14797
2003,30,0,5,86,120,13180
2007,13,10,4,81,128,14107
2018,18,6,5,84,128,13986
2012,7,8,2,87,127,13140
2012,29,6,3,87,126,14449
2007,22,2,3,82,123,12941
2005,33,8,7,90,129,16149
2012,20,5,3,85,130,13269
2003,13,2,5,81,124,12166
2012,28,0,10,80,123,13688
2005,1,4,10,81,123,12701
2015,34,6,5,87,129,15111
2005,22,0,5,82,123,12753
2017,10,4,5,80,121,12882
2014,27,9,4,80,125,15091
2005,24,1,5,90,124,13001
2012,36,8,1,90,121,15471
2001,22,0,1,81,121,13021
2018,13,4,0,80,128,13051
2010,3,0,0,81,123,11832
2006,25,4,8,90,129,13488
2009,12,2,2,84,125,12276
2000,11,1,0,90,130,12197
2016,17,5,1,81,120,12822
2006,31,7,4,81,130,15082
2010,28,0,10,81,129,13968
2014,23,9,8,87,126,15186
2012,3,3,3,80,128,12624
2002,27,2,8,89,124,13919
2015,14,8,1,80,125,14088
2005,37,3,7,82,121,15362
2018,11,6,1,82,120,13780
2015,13,10,5,87,124,14204
2012,12,3,7,87,130,13545
2001,14,3,2,90,123,13304
2007,16,5,6,84,123,13764
2012,18,4,0,88,124,12905
2001,35,5,7,90,126,14385
2016,19,4,4,88,122,13925
2014,10,9,4,90,126,14211
2006,23,1,5,89,128,13463
2006,24,2,7,90,127,13074
2011,37,3,8,82,126,14966
2006,15,7,8,88,129,13657
2017,22,2,4,81,127,12680
2016,19,5,10,85,126,14316
2015,38,8,6,84,130,15940
2012,1,2,8,84,124,11992
2000,4,6,9,82,126,14144
2011,10,1,9,82,130,12875
2016,36,4,10,86,128,15364
2003,21,7,8,88,126,14958
2000,33,5,0,88,127,14610
2001,27,0,8,87,121,13106
2012,27,7,1,82,124,14629
2010,2,3,8,85,127,13112
2006,2,6,2,90,121,13159
2018,29,0,1,83,127,13758
2005,3,6,8,89,123,12979
2006,25,1,10,81,130,14068
2015,10,3,3,90,126,12264
2006,20,0,9,81,127,13359
2011,18,9,3,85,123,14851
2015,10,1,8,85,127,12465
2011,18,2,5,82,128,12605
2005,36,8,1,82,126,15802
2002,4,8,3,90,125,14065
2004,36,8,8,90,123,15414
2010,7,6,7,87,126,13703
2003,2,7,3,87,120,13764
2008,38,6,7,82,129,15259
2003,10,10,6,86,129,14598
2012,24,10,6,89,121,15720
2013,38,0,5,89,122,14322
2014,33,2,5,85,125,14787
2006,8,7,5,82,129,13946
2006,24,3,10,86,129,13294
2004,29,0,4,84,128,12967
2007,17,6,7,88,124,14479
2013,32,2,3,88,130,14264
2004,31,0,9,90,126,13769
2002,33,5,10,84,130,14361
2012,8,6,1,86,122,13670
2018,22,6,3,89,123,14493
2015,22,4,8,88,120,13530
2011,28,6,0,89,120,14951
2017,9,3,6,89,127,13396
2011,5,1,9,87,126,12208
2009,22,1,1,82,126,13420
2014,12,7,6,87,127,13698
2000,35,10,8,81,130,15987
2017,5,2,1,90,124,12297
2016,0,4,8,86,126,13309
2006,26,4,7,81,126,13823
2013,19,1,9,88,128,12823
2002,25,0,3,90,123,12369
2010,26,7,3,85,130,14949
2008,7,2,5,89,128,12656
2017,1,10,3,87,122,13467
2013,11,7,9,85,123,13770
2014,7,9,5,86,127,13764
2016,1,8,7,85,120,13205
2005,33,4,8,89,127,14957
2002,27,0,6,90,127,13941
2006,26,9,4,80,125,14476
2013,7,0,0,90,129,11407
2000,28,2,7,88,120,13401
2014,5,6,8,88,126,14221
2012,4,7,3,85,130,13147
2012,5,6,6,80,127,12943
2010,25,3,4,83,121,13526
2016,31,4,9,82,122,14835
2001,32,1,10,82,127,13800
2013,32,7,10,90,120,15109
2007,30,5,8,90,124,14543
2003,20,9,0,84,129,14675
2005,19,1,9,80,122,13339
2015,13,6,7,85,128,13957
2004,21,5,9,90,128,14736
2003,0,8,1,87,130,13643
2003,22,0,0,89,123,12906
2005,31,6,10,88,128,14432
2003,31,4,6,88,129,14563
2002,10,5,2,85,127,13806
2003,30,5,2,85,130,14736
2012,19,5,9,87,128,13511
2002,22,1,8,90,123,13885
2000,2,9,4,88,130,14418
2014,7,0,2,83,128,12228
2017,32,8,8,90,121,15124
2012,7,5,1,80,124,12903
2007,36,1,5,87,121,13538
2013,2,5,1,87,126,13576
2003,5,0,4,81,120,12662
2014,22,6,8,82,120,14293
2018,8,1,7,82,121,12058
2011,28,3,7,87,125,13936
2014,22,3,6,89,128,14024
2013,19,5,7,81,127,14136
2013,33,1,5,82,126,13309
2001,14,3,6,90,123,12748
2008,35,5,4,85,123,15363
2002,2,4,1,80,126,12143
2007,0,3,3,81,121,12502
2007,23,10,6,83,126,15502
2014,33,2,9,81,126,14468
2011,10,10,0,89,125,13827
2017,2,6,7,81,123,13304
2014,24,10,3,84,120,15549
2014,34,9,10,81,126,15577
2000,18,5,4,88,129,13534
2003,23,3,0,85,120,13415
2009,4,4,9,87,129,13559
2002,26,2,8,85,120,13932
2000,5,0,1,85,121,11263
2002,19,0,5,82,129,13098
2015,38,1,9,90,121,13977
2010,7,9,4,88,126,14329
2017,12,2,8,89,120,12487
2011,22,7,0,80,126,14241
2011,20,10,9,90,126,14767
2004,1,6,10,80,125,13248
2005,28,10,3,87,123,15942
2004,28,9,10,84,130,15714
2002,21,2,10,88,128,13389
2015,4,1,4,82,125,12173
2016,7,6,0,86,127,13635
2001,13,0,0,80,121,11985
2005,35,1,0,90,125,13856
2010,9,2,9,82,127,12389
2006,38,3,9,82,128,15095
2014,34,6,1,85,130,14524
2017,21,6,6,85,129,14590
2015,28,5,9,84,128,14600
2016,15,1,3,88,123,13310
2016,7,1,0,85,125,12458
2015,8,2,1,89,121,11981
2018,7,6,8,81,121,12979
2004,26,0,2,82,127,12884
2013,31,8,1,90,121,15177
2006,15,8,3,81,125,13439
2011,11,9,5,84,126,14886
2017,17,8,10,89,121,14844
2011,30,7,3,89,128,14377
2009,10,2,10,84,128,13117
2007,13,8,7,86,128,14224
2005,1,8,1,86,126,14023
2010,8,8,10,83,126,14167
2009,14,2,6,89,126,13603
2009,31,9,5,88,124,15958
2011,29,6,7,82,130,15019
2018,31,0,8,82,129,13136
2010,4,2,4,80,129,11985
2008,20,6,6,83,122,14185
2001,16,5,10,90,126,13729
2011,26,7,3,85,122,14405
2001,4,8,6,84,125,13802
2012,11,6,5,89,124,13125
2001,4,9,7,86,126,14211
2018,21,5,3,90,125,14363
2015,14,9,6,90,126,14484
2014,11,10,10,83,125,14729
2009,31,2,8,89,126,13892
2012,36,2,7,80,129,14883
2014,36,6,8,82,120,15483
2009,38,3,9,80,129,14349
2002,33,7,2,86,122,14854
2012,0,9,0,87,129,13093
2002,26,9,2,83,124,14239
2015,18,9,4,82,123,14780
2002,36,7,0,88,121,15776
2013,16,10,7,90,128,14977
2012,34,8,5,85,130,16150
2002,12,4,10,89,128,13725
2008,30,7,4,81,120,15335
2006,18,0,3,89,121,13206
2016,3,3,5,85,126,12758
2004,17,8,4,81,120,13551
2014,5,7,2,83,125,14104
2014,6,4,0,82,120,12611
2003,9,9,0,80,123,14483
2006,16,8,7,80,122,14926
2000,3,8,8,90,123,14269
2001,30,1,0,86,122,13888
2011,37,6,2,90,127,15590
2016,4,10,10,89,123,14653
2013,33,4,2,89,124,15058
2012,2,1,4,90,126,11651
2003,21,2,6,80,128,12902
2008,5,10,1,84,120,14274
2002,27,4,3,83,127,14068
2010,3,3,2,82,124,12047
2002,17,5,4,83,127,13077
2002,15,3,4,90,122,13198
2006,4,6,8,90,120,12997
2017,21,5,0,80,125,13024
2007,14,3,9,87,125,13932
2017,26,10,1,82,120,14456
2015,31,1,9,80,127,13729
2015,23,9,4,88,130,15144
2006,14,7,9,89,121,13999
2003,7,9,8,80,129,13714
2001,35,4,5,85,120,14648
2015,6,9,4,82,122,14522
2013,37,4,8,87,130,14978
2017,29,5,9,86,122,14031
2011,29,5,1,88,122,13611
2006,24,7,9,86,128,15339
2009,35,4,2,84,126,15070
2008,36,2,3,81,127,13901
2013,2,6,4,84,124,13280
2008,34,4,4,85,129,14218
2000,13,5,6,89,125,13372
2002,19,4,6,90,122,13839
2017,26,4,8,89,128,14232
2001,26,3,3,87,122,13651
2002,9,6,6,80,129,14166
2004,7,8,4,85,121,14291
2009,17,9,5,87,128,14800
2003,8,2,4,90,123,12843
2018,36,2,4,83,121,14986
2001,23,3,6,81,126,13845
2006,10,10,7,89,129,15182
2004,30,2,5,83,126,13481
2013,13,10,2,86,126,14302
2011,37,7,9,82,130,15248
2002,7,1,5,87,120,12746
2017,28,3,5,85,127,13363
2007,22,5,1,81,128,14241
2010,22,4,8,83,122,13869
2002,10,6,3,84,123,13788
2008,30,10,3,90,124,15877
2008,2,1,2,81,122,11842
2009,16,2,0,81,130,13003
2006,29,4,10,80,124,14932
2017,9,7,1,89,130,13751
2018,8,9,6,84,129,13994
2002,18,10,5,86,129,14785
2001,30,9,1,90,122,15512
2000,12,1,8,84,126,12837
2010,18,10,8,89,126,14344
2005,22,3,1,87,130,12722
2003,0,2,8,89,127,12600
2016,11,1,0,88,126,11992
2012,11,0,1,90,120,12428
2005,33,2,10,90,129,14031
2010,5,9,9,80,130,14501
2014,10,2,5,90,130,13437
2010,6,9,3,90,121,13978
2014,15,10,4,84,129,14884
2012,11,1,4,80,128,12396
2017,0,0,10,82,127,11953
2011,30,2,4,88,128,13629
2013,3,10,5,81,129,13726
2011,23,2,10,87,129,13558
2014,20,4,5,83,122,13997
2005,34,0,2,80,125,13492
2003,22,3,9,84,121,13047
2006,9,1,2,88,130,11737
2003,27,0,3,88,121,12619
2017,5,6,1,83,128,13369
2011,4,10,2,80,127,13953
2010,25,0,10,88,120,13488
2017,15,3,9,88,127,13919
2003,36,2,7,82,123,14185
2003,7,8,4,87,120,13660
2000,2,1,4,88,122,11937
2014,0,0,2,81,121,12382
2007,17,3,6,82,120,12616
2016,11,3,0,87,129,12790
2013,21,3,6,82,129,13298
2017,1,6,10,82,122,13306
2009,35,8,0,86,120,15669
2016,6,7,6,81,128,13972
2012,18,3,4,83,130,13663
2008,20,10,2,85,127,15013
2014,16,3,1,88,120,13640
2001,4,1,10,86,124,12543
2000,28,4,9,90,127,13962
2010,35,2,2,81,124,14511
2003,31,1,0,89,129,13275
2004,8,4,9,86,128,13644
2014,4,0,8,83,130,12578
2012,31,10,2,88,124,16168
2011,11,0,10,81,129,13130
2007,11,8,0,81,123,14241
2017,22,3,7,83,126,13039
2015,9,10,3,87,128,14219
2000,32,0,10,81,123,14071
2010,20,3,4,80,126,13854
2012,20,0,8,83,126,13470
2014,0,4,2,83,122,12583
2000,18,0,7,82,129,13385
2006,24,9,5,83,124,14399
2018,38,2,7,81,125,15206
2007,24,7,8,90,120,15017
2009,9,9,6,87,121,14837
2004,33,1,8,87,120,14162
2008,22,9,3,85,124,14695
2017,33,4,9,87,126,14548
2010,1,0,0,89,129,11735
2010,32,2,6,82,127,14730
2001,21,9,5,81,129,14329
2017,29,9,1,80,120,14698
2009,38,3,8,88,125,14317
2013,30,9,3,87,126,14798
2002,30,8,5,86,123,14982
2009,6,1,5,85,123,12631
2000,0,6,0,81,128,12605
2006,32,8,7,84,122,15876
2006,18,6,0,88,128,13444
2008,6,0,1,88,123,11610
2008,0,10,3,88,123,13918
2018,2,5,1,85,130,12353
2016,21,3,2,88,123,13740
2017,31,3,1,89,124,14279
2001,8,3,2,87,126,12058
2014,27,6,3,90,128,14967
2016,2,2,1,82,126,12819
2001,27,6,7,83,123,13905
2010,6,1,5,86,130,12050
2017,31,1,6,86,120,13706
2001,20,3,2,88,123,13480
2009,22,0,2,86,130,13312
2018,16,5,8,82,124,14418
2002,27,4,5,85,128,13932
2005,30,5,1,85,122,13769
2008,21,3,10,82,122,13560
2002,18,9,4,83,128,14118
2011,6,4,0,86,120,12742
2017,16,8,4,86,125,14500
2011,20,6,3,83,124,13809
2006,38,4,8,86,123,14740
2006,34,0,0,87,120,12900
2008,11,8,10,88,129,14814
2013,2,8,9,88,129,13754
2010,6,10,5,83,123,14399
2011,3,4,5,83,123,12661
2011,0,4,9,86,129,12594
2016,38,2,6,90,129,14331
2008,33,3,7,81,120,14510
2003,1,2,8,89,127,12493
2016,31,6,6,90,126,15167
2004,0,5,8,85,129,13847
2011,33,5,9,87,124,14463
2008,33,1,9,83,121,13588
2007,0,1,9,88,120,11793
2001,30,10,6,81,120,15043
2007,14,9,5,82,130,14755
2016,14,5,4,89,123,13764
2017,11,10,10,89,120,14746
2010,6,10,10,83,127,14419
2008,35,10,2,81,125,15195
2001,6,10,3,82,123,13493
2000,38,5,2,80,120,15580
2000,32,1,1,86,128,13749
2015,24,0,6,85,123,12492
2012,22,8,9,83,128,14559
2005,20,4,2,81,125,13683
2013,3,9,8,85,120,13879
2003,15,5,6,82,127,13959
2010,14,0,4,84,123,11928
2003,16,0,10,85,123,12798
2010,2,3,7,80,128,12287
2003,5,10,5,81,121,13936
2013,19,0,8,83,127,13549
2012,30,5,4,81,122,14186
2001,33,1,1,87,126,13831
2007,10,8,4,85,122,13408
2017,33,6,1,82,123,14652
2005,4,10,0,89,122,13714
2004,6,3,6,86,121,13436
2018,21,7,3,86,124,14005
2006,15,4,7,90,129,13740
2009,35,5,6,89,124,14989
2012,20,8,6,89,124,14800
2003,4,9,3,88,126,13779
2013,14,5,4,87,121,12846
2009,13,2,9,86,120,13533
2002,9,7,10,85,126,13958
2004,12,9,0,80,121,14216
2015,20,6,1,87,129,14407
2009,29,1,6,89,126,13811
2017,6,7,9,83,124,13988
2004,11,1,1,81,121,11920
2018,14,5,10,83,127,13310
2006,16,9,0,82,129,13708
2007,36,5,9,85,121,15056
2008,14,6,3,81,128,13999
2004,13,9,9,88,122,13998
2011,36,2,10,86,124,15030
2009,5,10,2,86,120,14717
2009,2,4,2,87,126,12389
2015,17,2,10,87,128,13729
2003,30,7,5,90,129,15581
2015,28,2,5,83,128,14404
2018,20,7,10,89,126,14323
2009,32,1,4,89,120,14292
2012,16,0,2,85,120,11796
2013,33,9,6,84,121,15148
2016,1,0,7,88,128,12483
2003,20,7,4,80,120,14373
2008,31,9,5,90,126,15848
2004,20,9,7,88,125,15280
2000,13,7,6,87,124,13654
2013,8,0,8,82,126,12162
2003,26,5,4,85,124,14380
2002,27,4,6,80,130,14346
2002,19,3,6,84,129,13893
2016,1,5,8,90,121,13655
2015,2,0,8,87,126,11902
2011,20,2,6,90,120,12636
2001,4,5,0,82,124,12595
2010,24,5,5,86,129,14488
2004,20,9,6,85,123,14070
2013,37,0,4,85,120,13392
2012,14,0,5,83,124,12996
2002,29,7,1,82,122,14842
2013,31,6,6,83,121,15468
2014,19,0,6,90,127,13237
2017,15,1,9,86,121,13090
2006,0,8,7,85,125,14172
2011,30,2,5,85,122,14008
2014,2,0,6,87,129,11688
2017,28,8,8,85,124,14677
2006,23,7,1,87,128,14501
2002,21,0,2,87,122,12294
2003,18,9,0,83,126,13660
2005,4,4,4,81,125,12607
2014,36,3,10,81,130,15385
2007,0,3,7,83,128,13255
2011,5,5,5,81,128,13192
2010,29,9,7,88,124,15277
2004,31,3,9,81,126,13703
2002,13,4,1,83,122,12876
2002,5,5,1,90,125,12597
2013,31,5,0,85,123,13844
2010,7,5,3,89,129,13318
2000,6,5,7,85,128,12656
2017,5,2,10,87,121,12464
2016,32,8,9,85,123,14903
2012,27,3,3,84,130,13177
2011,6,1,4,80,124,12193
2001,24,2,1,87,128,12614
2014,14,8,2,81,126,14143
2017,10,3,3,81,129,12498
2003,32,9,10,87,120,15476
2015,14,10,8,80,129,14140
2010,17,10,0,85,127,13876
2009,30,7,2,83,120,14872
2016,4,4,10,83,125,13350
2018,18,2,8,84,129,13435
2005,35,10,1,80,126,15131
2008,20,6,3,83,127,13811
2018,13,1,10,81,124,13548
2017,8,5,8,89,121,13970
2012,33,0,5,90,126,13774
2004,28,4,7,86,127,13988
2017,19,9,6,85,122,14198
2000,32,7,4,85,125,15251
2006,28,7,10,86,120,14994
2018,17,8,4,84,123,13905
2012,17,5,0,88,130,13347
2002,31,0,6,83,126,13448
2006,0,9,3,89,128,14478
2006,5,8,0,87,122,13048
2015,16,0,3,85,129,13045
2004,19,6,4,88,128,13815
2007,1,10,4,81,123,13821
2001,34,5,7,90,128,15318
2006,22,2,7,86,123,13156
2016,28,9,8,85,125,15903
2002,9,9,10,90,128,14300
2014,26,10,7,89,130,15336
2018,29,9,6,85,128,15401
2008,9,2,5,87,130,13229
2005,19,8,10,88,122,14010
2017,38,10,2,87,124,15789
2006,2,1,4,83,120,12435
2003,12,7,6,82,121,13333
2007,13,0,4,80,125,12993
2002,1,3,1,83,125,13058
2008,24,4,6,89,127,13441
2017,33,5,1,80,129,15220
2006,30,7,10,86,122,14527
2004,14,8,8,85,128,14299
2014,10,7,2,83,125,14017
2010,22,0,3,89,127,13239
2009,8,4,7,88,124,13430
2012,37,2,4,90,121,14074
2013,35,4,9,87,130,14848
2003,7,5,5,89,127,13120
2006,3,9,1,87,125,13658
2003,27,3,10,86,121,14702
2004,35,0,1,85,128,13944
2012,0,2,10,80,122,12042
2015,11,7,6,85,126,13647
2013,21,8,8,88,128,14352
2015,17,3,7,81,121,13589
2003,23,8,1,90,121,14047
2013,33,7,7,80,122,15759
2014,13,0,2,86,123,12821
2008,1,6,2,83,122,12992
2006,8,6,3,87,124,12874
2009,5,6,10,80,129,14147
2013,1,8,5,83,128,14385
2003,32,8,10,85,121,15759
2005,35,9,3,84,128,15043
2017,27,10,5,86,129,15931
2001,12,10,10,85,126,14343
2011,8,10,0,83,123,13462
2007,5,7,1,87,124,13655
2016,21,5,4,83,123,14357
2010,16,10,3,84,129,14485
2000,11,9,2,85,122,14159
2007,18,8,2,82,121,13656
2017,19,4,6,84,120,13747
2017,28,9,7,82,130,15367
2012,31,8,4,88,121,15816
2014,8,0,10,89,121,11896
2012,9,5,6,84,121,13855
2018,21,4,1,82,124,13378
2011,29,7,0,81,129,15123
2011,32,7,0,86,126,15369
2014,2,0,2,87,128,12239
2011,27,2,1,86,123,13090
2002,1,4,6,90,123,12783
2017,4,9,10,89,128,13963
2017,3,0,3,80,126,12155
2003,24,0,0,80,123,13367
2018,2,7,7,84,120,14150
2018,21,8,4,90,129,15074
2014,7,4,0,82,128,12687
2007,30,6,8,84,122,15343
2018,1,5,8,83,128,12787
2007,20,4,6,90,122,13795
2004,23,3,3,80,130,13475
2016,18,7,5,84,125,14802
2014,23,5,4,82,121,13573
2017,12,5,10,90,120,13843
2014,26,0,4,90,129,13211
2018,38,8,9,82,123,15804
2014,28,6,5,81,120,14168
2003,6,10,4,83,120,13793
2008,0,2,8,82,127,12086
2007,0,0,6,84,122,11559
2007,31,10,2,85,122,15613
2003,15,10,5,86,121,14971
2005,37,6,0,80,125,15651
2016,37,7,3,87,129,15118
2015,37,0,0,87,121,14226
2005,23,9,4,85,125,15429
2003,5,10,0,83,129,13740
2008,34,10,1,82,124,15939
2002,33,2,6,85,124,13889
2000,34,7,7,86,120,15042
2010,9,4,1,90,128,12951
2012,6,5,9,89,122,13306
2006,34,0,6,83,125,14090
2003,32,2,9,84,125,14844
2014,16,5,4,84,129,13228
2000,20,0,10,85,125,13262
2008,2,1,5,83,130,11921
2013,25,3,1,83,126,13292
2001,5,9,8,88,121,14522
2002,29,1,5,88,123,12948
2014,29,10,9,89,127,16142
2012,15,5,0,80,123,13546
2014,26,4,3,87,127,14203
2016,29,5,1,90,123,14408
2006,6,1,0,90,128,11663
2013,16,0,7,81,120,12913
2017,5,7,7,80,128,13363
2000,19,2,10,87,121,13345
2015,20,1,10,90,122,13798
2001,26,4,7,89,124,14457
2007,14,6,0,83,123,13826
2016,35,4,3,80,122,14105
2015,23,7,5,86,124,13962
2008,14,5,5,88,129,13928
2013,0,6,2,85,123,12762
2015,19,0,0,86,120,12883
2017,1,0,5,89,124,11992
2006,11,3,7,83,130,13328
2000,17,8,8,83,124,14897
2002,4,10,3,81,120,13420
2015,32,9,4,88,123,14880
2004,33,3,4,81,122,13847
2008,38,5,0,85,130,14467
2013,35,7,6,81,122,15382
2012,26,2,6,84,122,13888
2011,10,1,0,90,127,12196
2010,20,1,1,89,124,13455
2007,27,3,6,89,122,13660
2018,26,10,8,87,124,15614
2009,22,5,5,81,130,13958
2003,21,6,10,82,123,14546
2011,21,7,0,87,130,13985
2001,34,0,3,80,130,13550
2009,13,4,9,82,120,13673
2008,0,1,3,87,122,11882
2014,10,5,2,84,120,13318
2004,17,6,6,81,124,13875
2006,37,0,10,84,124,13674
2001,2,10,2,84,122,13343
2009,7,0,0,82,126,12339
2005,10,9,5,85,120,14284
2013,22,0,0,81,130,12955
2007,31,3,9,89,120,14355
2015,38,1,6,80,123,14796
2011,33,5,5,82,125,14118
2009,32,5,4,81,129,14370
2012,25,8,7,89,120,14639
2017,13,4,4,89,128,13291
2016,12,5,10,82,128,13843
2005,9,5,2,81,127,13008
2002,30,2,1,89,120,13394
2016,37,4,4,88,121,15000
2000,12,5,0,88,121,13128
2018,29,9,7,82,123,14904
2006,37,8,3,80,126,16240
2003,27,5,9,88,130,14372
2001,28,8,3,85,127,14238
2006,10,3,3,80,122,12903
2013,34,1,10,81,122,14499
2004,22,6,5,88,127,14414
2009,14,9,6,88,121,14417
2015,7,9,8,87,123,14154
2000,23,5,1,81,128,13639
2003,34,4,0,80,127,14587
2006,16,7,4,90,125,13494
2015,3,6,4,80,126,13178
2017,7,8,3,85,129,13468
2014,4,3,10,90,122,13655
2000,27,7,3,86,124,14815
2014,5,2,10,87,129,13501
2015,13,10,6,88,122,13996
2011,15,9,0,90,128,14223
2004,6,8,3,83,125,13088
2009,4,6,1,88,127,13195
2003,30,4,5,83,122,14748
2002,12,10,9,84,125,14539
2007,23,5,8,89,120,13515
2015,36,6,8,87,129,15815
2009,33,0,3,85,124,14000
2009,6,2,5,82,129,12096
2000,3,0,1,85,126,11743
2004,20,0,1,85,128,12975
2007,31,2,6,87,120,13864
2018,30,6,9,84,120,15563
2016,32,3,1,86,121,14702
2016,6,4,5,82,130,12801
2016,37,1,0,81,125,13416
2013,25,3,4,90,129,13620
2005,10,10,10,88,130,15076
2014,13,0,6,89,123,12406
2013,13,5,1,84,125,13540
2010,19,4,4,81,121,13099
2014,13,5,5,89,127,13277
2009,17,3,10,85,123,14118
2000,2,2,9,84,124,13011
2009,2,3,8,82,124,13453
2001,37,4,0,81,121,14564
2007,5,0,6,80,126,12433
2011,21,2,6,88,121,13951
2000,1,3,9,89,129,12870
2013,13,10,1,89,129,14536
2005,32,1,3,87,123,13725
2002,26,4,5,89,128,13755
2017,34,0,3,81,129,13755
2006,28,9,10,82,121,14908
2006,18,2,1,81,121,13092
2015,8,8,6,80,128,14619
2009,10,10,10,87,127,14570
2007,16,5,6,80,128,13772
2002,3,4,2,83,129,12625
2012,16,4,3,82,123,13420
2014,31,10,1,89,123,16002
2012,37,8,2,87,123,16112
2005,16,0,8,80,129,13346
2016,1,4,4,86,122,13231
2017,22,5,9,90,124,13579
2016,6,10,3,80,130,13975
2016,37,4,7,89,129,15325
2011,22,6,1,87,128,14628
2016,22,7,8,82,129,14314
